timestamp,power
1612389600,77
1612390500,55
1612391400,94
1612392300,62
1612393200,87
1612394100,65
1612395000,42
1612395900,79
1612396800,45
1612397700,74
1612398600,60
1612399500,53
1612400400,96
1612401300,64
1612402200,57
1612403100,41
1612404000,97
1612404900,42
1612405800,82
1612406700,48
1612407600,50
1612408500,68
1612409400,67
1612410300,79
1612411200,54
1612412100,80
1612413000,94
1612413900,73
1612414800,44
1612415700,94
1612416600,170
1612417500,113
1612418400,50
1612419300,83
1612420200,48
1612421100,89
1612422000,57
1612422900,52
1612423800,70
1612424700,55
1612425600,66
1612426500,62
1612427400,148
1612428300,72
1612429200,91
1612430100,45
1612431000,68
1612431900,418
1612432800,272
1612433700,52
1612434600,297
1612435500,64
1612436400,146
1612437300,168
1612438200,224
1612439100,86
1612440000,124
1612440900,84
1612441800,103
1612442700,96
1612443600,92
1612444500,94
1612445400,152
1612446300,101
1612447200,129
1612448100,118
1612449000,126
1612449900,129
1612450800,118
1612451700,331
1612452600,486
1612453500,340
1612454400,396
1612455300,279
1612456200,157
1612457100,174
1612458000,178
1612458900,160
1612459800,136
1612460700,147
1612461600,128
1612462500,168
1612463400,154
1612464300,160
1612465200,164
1612466100,147
1612467000,175
1612467900,149
1612468800,156
1612469700,152
1612470600,127
1612471500,204
1612472400,122
1612473300,81
1612474200,72
1612475100,73
1612476000,94
1612476900,105
1612477800,84
1612478700,103
1612479600,75
1612480500,72
1612481400,124
1612482300,88
1612483200,80
1612484100,96
1612485000,69
1612485900,82
1612486800,120
1612487700,97
1612488600,103
1612489500,73
1612490400,67
1612491300,104
1612492200,84
1612493100,115
1612494000,69
1612494900,77
1612495800,121
1612496700,69
1612497600,107
1612498500,83
1612499400,129
1612500300,134
1612501200,91
1612502100,52
1612503000,176
1612503900,129
1612504800,44
1612505700,67
1612506600,55
1612507500,83
1612508400,41
1612509300,83
1612510200,62
1612511100,59
1612512000,211
1612512900,53
1612513800,52
1612514700,89
1612515600,114
1612516500,77
1612517400,54
1612518300,69
1612519200,75
1612520100,90
1612521000,113
1612521900,121
1612522800,78
1612523700,55
1612524600,74
1612525500,72
1612526400,43
1612527300,86
1612528200,88
1612529100,136
1612530000,157
1612530900,102
1612531800,111
1612532700,148
1612533600,103
1612534500,133
1612535400,131
1612536300,102
1612537200,128
1612538100,107
1612539000,135
1612539900,149
1612540800,113
1612541700,135
1612542600,269
1612543500,196
1612544400,314
1612545300,142
1612546200,162
1612547100,150
1612548000,162
1612548900,160
1612549800,119
1612550700,114
1612551600,122
1612552500,119
1612553400,129
1612554300,169
1612555200,143
1612556100,160
1612557000,157
1612557900,169
1612558800,129
1612559700,135
1612560600,117
1612561500,118
1612562400,142
1612563300,104
1612564200,131
1612565100,104
1612566000,45
1612566900,87
1612567800,75
1612568700,80
1612569600,72
1612570500,64
1612571400,65
1612572300,40
1612573200,74
1612574100,63
1612575000,49
1612575900,66
1612576800,57
1612577700,58
1612578600,51
1612579500,65
1612580400,64
1612581300,71
1612582200,59
1612583100,66
1612584000,69
1612584900,52
1612585800,51
1612586700,77
1612587600,49
1612588500,101
1612589400,97
1612590300,108
1612591200,127
1612592100,100
1612593000,68
1612593900,59
1612594800,102
1612595700,50
1612596600,69
1612597500,44
1612598400,117
1612599300,145
1612600200,103
1612601100,86
1612602000,96
1612602900,92
1612603800,108
1612604700,54
1612605600,90
1612606500,68
1612607400,181
1612608300,247
1612609200,131
1612610100,73
1612611000,86
1612611900,63
1612612800,76
1612613700,116
1612614600,79
1612615500,70
1612616400,71
1612617300,54
1612618200,60
1612619100,60
1612620000,74
1612620900,204
1612621800,88
1612622700,73
1612623600,139
1612624500,88
1612625400,116
1612626300,247
1612627200,187
1612628100,405
1612629000,328
1612629900,270
1612630800,501
1612631700,196
1612632600,181
1612633500,142
1612634400,209
1612635300,219
1612636200,163
1612637100,163
1612638000,177
1612638900,200
1612639800,169
1612640700,189
1612641600,215
1612642500,170
1612643400,184
1612644300,151
1612645200,191
1612646100,167
1612647000,145
1612647900,146
1612648800,138
1612649700,164
1612650600,122
1612651500,128
1612652400,68
1612653300,63
1612654200,107
1612655100,79
1612656000,73
1612656900,70
1612657800,66
1612658700,72
1612659600,54
1612660500,67
1612661400,37
1612662300,53
1612663200,74
1612664100,61
1612665000,48
1612665900,42
1612666800,83
1612667700,46
1612668600,65
1612669500,78
1612670400,52
1612671300,52
1612672200,102
1612673100,92
1612674000,139
1612674900,159
1612675800,109
1612676700,68
1612677600,58
1612678500,68
1612679400,50
1612680300,78
1612681200,90
1612682100,75
1612683000,83
1612683900,43
1612684800,98
1612685700,137
1612686600,78
1612687500,76
1612688400,70
1612689300,564
1612690200,1062
1612691100,781
1612692000,473
1612692900,242
1612693800,103
1612694700,117
1612695600,113
1612696500,126
1612697400,154
1612698300,109
