timestamp,price_energy_levies_positive,price_energy_levies_negative
1617601500,0.18,0.18
1617602400,0.18,0.18
1617603300,0.18,0.18
1617604200,0.18,0.18
1617605100,0.18,0.18
1617606000,0.18,0.18
1617606900,0.18,0.18
1617607800,0.18,0.18
1617608700,0.18,0.18
1617609600,0.18,0.18
1617610500,0.18,0.18
1617611400,0.18,0.18
1617612300,0.18,0.18
1617613200,0.18,0.18
1617614100,0.18,0.18
1617615000,0.18,0.18
1617615900,0.18,0.18
1617616800,0.18,0.18
1617617700,0.18,0.18
1617618600,0.18,0.18
1617619500,0.18,0.18
1617620400,0.18,0.18
1617621300,0.18,0.18
1617622200,0.18,0.18
1617623100,0.18,0.18
1617624000,0.18,0.18
1617624900,0.18,0.18
1617625800,0.18,0.18
1617626700,0.18,0.18
1617627600,0.18,0.18
1617628500,0.18,0.18
1617629400,0.18,0.18
1617630300,0.18,0.18
1617631200,0.18,0.18
1617632100,0.18,0.18
1617633000,0.18,0.18
1617633900,0.18,0.18
1617634800,0.18,0.18
1617635700,0.18,0.18
1617636600,0.18,0.18
1617637500,0.18,0.18
1617638400,0.18,0.18
1617639300,0.18,0.18
1617640200,0.18,0.18
1617641100,0.18,0.18
1617642000,0.18,0.18
1617642900,0.18,0.18
1617643800,0.18,0.18
1617644700,0.18,0.18
1617645600,0.18,0.18
1617646500,0.18,0.18
1617647400,0.18,0.18
1617648300,0.18,0.18
1617649200,0.18,0.18
1617650100,0.18,0.18
1617651000,0.18,0.18
1617651900,0.18,0.18
1617652800,0.18,0.18
1617653700,0.18,0.18
1617654600,0.18,0.18
1617655500,0.18,0.18
1617656400,0.18,0.18
1617657300,0.18,0.18
1617658200,0.18,0.18
1617659100,0.18,0.18
1617660000,0.18,0.18
1617660900,0.18,0.18
1617661800,0.18,0.18
1617662700,0.18,0.18
1617663600,0.18,0.18
1617664500,0.18,0.18
1617665400,0.18,0.18
1617666300,0.18,0.18
1617667200,0.18,0.18
1617668100,0.18,0.18
1617669000,0.18,0.18
1617669900,0.18,0.18
1617670800,0.18,0.18
1617671700,0.18,0.18
1617672600,0.18,0.18
1617673500,0.18,0.18
1617674400,0.18,0.18
1617675300,0.18,0.18
1617676200,0.18,0.18
1617677100,0.18,0.18
1617678000,0.18,0.18
1617678900,0.18,0.18
1617679800,0.18,0.18
1617680700,0.18,0.18
1617681600,0.18,0.18
1617682500,0.18,0.18
1617683400,0.18,0.18
1617684300,0.18,0.18
1617685200,0.18,0.18
1617686100,0.18,0.18
1617687000,0.18,0.18
1617687900,0.18,0.18
1617688800,0.18,0.18
1617689700,0.18,0.18
1617690600,0.18,0.18
1617691500,0.18,0.18
1617692400,0.18,0.18
1617693300,0.18,0.18
1617694200,0.18,0.18
1617695100,0.18,0.18
1617696000,0.18,0.18
1617696900,0.18,0.18
1617697800,0.18,0.18
1617698700,0.18,0.18
1617699600,0.18,0.18
1617700500,0.18,0.18
1617701400,0.18,0.18
1617702300,0.18,0.18
1617703200,0.18,0.18
1617704100,0.18,0.18
1617705000,0.18,0.18
1617705900,0.18,0.18
1617706800,0.18,0.18
1617707700,0.18,0.18
1617708600,0.18,0.18
1617709500,0.18,0.18
1617710400,0.18,0.18
1617711300,0.18,0.18
1617712200,0.18,0.18
1617713100,0.18,0.18
1617714000,0.18,0.18
1617714900,0.18,0.18
1617715800,0.18,0.18
1617716700,0.18,0.18
1617717600,0.18,0.18
1617718500,0.18,0.18
1617719400,0.18,0.18
1617720300,0.18,0.18
1617721200,0.18,0.18
1617722100,0.18,0.18
1617723000,0.18,0.18
1617723900,0.18,0.18
1617724800,0.18,0.18
1617725700,0.18,0.18
1617726600,0.18,0.18
1617727500,0.18,0.18
1617728400,0.18,0.18
1617729300,0.18,0.18
1617730200,0.18,0.18
1617731100,0.18,0.18
1617732000,0.18,0.18
1617732900,0.18,0.18
1617733800,0.18,0.18
1617734700,0.18,0.18
1617735600,0.18,0.18
1617736500,0.18,0.18
1617737400,0.18,0.18
1617738300,0.18,0.18
1617739200,0.18,0.18
1617740100,0.18,0.18
1617741000,0.18,0.18
1617741900,0.18,0.18
1617742800,0.18,0.18
1617743700,0.18,0.18
1617744600,0.18,0.18
1617745500,0.18,0.18
1617746400,0.18,0.18
1617747300,0.18,0.18
1617748200,0.18,0.18
1617749100,0.18,0.18
1617750000,0.18,0.18
1617750900,0.18,0.18
1617751800,0.18,0.18
1617752700,0.18,0.18
1617753600,0.18,0.18
1617754500,0.18,0.18
1617755400,0.18,0.18
1617756300,0.18,0.18
1617757200,0.18,0.18
1617758100,0.18,0.18
1617759000,0.18,0.18
1617759900,0.18,0.18
1617760800,0.18,0.18
1617761700,0.18,0.18
1617762600,0.18,0.18
1617763500,0.18,0.18
1617764400,0.18,0.18
1617765300,0.18,0.18
1617766200,0.18,0.18
1617767100,0.18,0.18
1617768000,0.18,0.18
1617768900,0.18,0.18
1617769800,0.18,0.18
1617770700,0.18,0.18
1617771600,0.18,0.18
1617772500,0.18,0.18
1617773400,0.18,0.18
1617774300,0.18,0.18
1617775200,0.18,0.18
1617776100,0.18,0.18
1617777000,0.18,0.18
1617777900,0.18,0.18
1617778800,0.18,0.18
1617779700,0.18,0.18
1617780600,0.18,0.18
1617781500,0.18,0.18
1617782400,0.18,0.18
1617783300,0.18,0.18
1617784200,0.18,0.18
1617785100,0.18,0.18
1617786000,0.18,0.18
1617786900,0.18,0.18
1617787800,0.18,0.18
1617788700,0.18,0.18
1617789600,0.18,0.18
1617790500,0.18,0.18
1617791400,0.18,0.18
1617792300,0.18,0.18
1617793200,0.18,0.18
1617794100,0.18,0.18
1617795000,0.18,0.18
1617795900,0.18,0.18
1617796800,0.18,0.18
1617797700,0.18,0.18
1617798600,0.18,0.18
1617799500,0.18,0.18
1617800400,0.18,0.18
1617801300,0.18,0.18
1617802200,0.18,0.18
1617803100,0.18,0.18
1617804000,0.18,0.18
1617804900,0.18,0.18
1617805800,0.18,0.18
1617806700,0.18,0.18
1617807600,0.18,0.18
1617808500,0.18,0.18
1617809400,0.18,0.18
1617810300,0.18,0.18
1617811200,0.18,0.18
1617812100,0.18,0.18
1617813000,0.18,0.18
1617813900,0.18,0.18
1617814800,0.18,0.18
1617815700,0.18,0.18
1617816600,0.18,0.18
1617817500,0.18,0.18
1617818400,0.18,0.18
1617819300,0.18,0.18
1617820200,0.18,0.18
1617821100,0.18,0.18
1617822000,0.18,0.18
1617822900,0.18,0.18
1617823800,0.18,0.18
1617824700,0.18,0.18
1617825600,0.18,0.18
1617826500,0.18,0.18
1617827400,0.18,0.18
1617828300,0.18,0.18
1617829200,0.18,0.18
1617830100,0.18,0.18
1617831000,0.18,0.18
1617831900,0.18,0.18
1617832800,0.18,0.18
1617833700,0.18,0.18
1617834600,0.18,0.18
1617835500,0.18,0.18
1617836400,0.18,0.18
1617837300,0.18,0.18
1617838200,0.18,0.18
1617839100,0.18,0.18
1617840000,0.18,0.18
1617840900,0.18,0.18
1617841800,0.18,0.18
1617842700,0.18,0.18
1617843600,0.18,0.18
1617844500,0.18,0.18
1617845400,0.18,0.18
1617846300,0.18,0.18
1617847200,0.18,0.18
1617848100,0.18,0.18
1617849000,0.18,0.18
1617849900,0.18,0.18
1617850800,0.18,0.18
1617851700,0.18,0.18
1617852600,0.18,0.18
1617853500,0.18,0.18
1617854400,0.18,0.18
1617855300,0.18,0.18
1617856200,0.18,0.18
1617857100,0.18,0.18
1617858000,0.18,0.18
1617858900,0.18,0.18
1617859800,0.18,0.18
1617860700,0.18,0.18
1617861600,0.18,0.18
1617862500,0.18,0.18
1617863400,0.18,0.18
1617864300,0.18,0.18
1617865200,0.18,0.18
1617866100,0.18,0.18
1617867000,0.18,0.18
1617867900,0.18,0.18
1617868800,0.18,0.18
1617869700,0.18,0.18
1617870600,0.18,0.18
1617871500,0.18,0.18
1617872400,0.18,0.18
1617873300,0.18,0.18
1617874200,0.18,0.18
1617875100,0.18,0.18
1617876000,0.18,0.18
1617876900,0.18,0.18
1617877800,0.18,0.18
1617878700,0.18,0.18
1617879600,0.18,0.18
1617880500,0.18,0.18
1617881400,0.18,0.18
1617882300,0.18,0.18
1617883200,0.18,0.18
1617884100,0.18,0.18
1617885000,0.18,0.18
1617885900,0.18,0.18
1617886800,0.18,0.18
1617887700,0.18,0.18
1617888600,0.18,0.18
1617889500,0.18,0.18
1617890400,0.18,0.18
1617891300,0.18,0.18
1617892200,0.18,0.18
1617893100,0.18,0.18
1617894000,0.18,0.18
1617894900,0.18,0.18
1617895800,0.18,0.18
1617896700,0.18,0.18
1617897600,0.18,0.18
1617898500,0.18,0.18
1617899400,0.18,0.18
1617900300,0.18,0.18
1617901200,0.18,0.18
1617902100,0.18,0.18
1617903000,0.18,0.18
1617903900,0.18,0.18
1617904800,0.18,0.18
1617905700,0.18,0.18
1617906600,0.18,0.18
1617907500,0.18,0.18
1617908400,0.18,0.18
1617909300,0.18,0.18
1617910200,0.18,0.18
1617911100,0.18,0.18
1617912000,0.18,0.18
1617912900,0.18,0.18
1617913800,0.18,0.18
1617914700,0.18,0.18
1617915600,0.18,0.18
1617916500,0.18,0.18
1617917400,0.18,0.18
1617918300,0.18,0.18
1617919200,0.18,0.18
1617920100,0.18,0.18
1617921000,0.18,0.18
1617921900,0.18,0.18
1617922800,0.18,0.18
1617923700,0.18,0.18
1617924600,0.18,0.18
1617925500,0.18,0.18
1617926400,0.18,0.18
1617927300,0.18,0.18
1617928200,0.18,0.18
1617929100,0.18,0.18
1617930000,0.18,0.18
1617930900,0.18,0.18
1617931800,0.18,0.18
1617932700,0.18,0.18
